#Name (cmd = mergePeaks /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/down_strict/bg.clean.pos /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/down_strict/target.clean..pos -d 500 -cobound 1 -prefix /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/down_strict/0.944908249731274.2.tmp)	chr	start	end	strand	stat	stat2	/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/down_strict/target.clean..pos
BG289	chr2	68448950	68449349	+	0.000	0.000	69
BG291	chr8	139910226	139910625	+	0.000	0.000	70
BG295	chr12	100908494	100908893	+	0.000	0.000	71
BG300	chr1	162720980	162721379	+	0.000	0.000	72
BG303	chr12	101022098	101022497	+	0.000	0.000	73
BG305	chr6	111894294	111894693	+	0.000	0.000	74
BG306	chr4	14130483	14130882	+	0.000	0.000	75
BG311	chr9	34685681	34686080	+	0.000	0.000	76
BG314	chr20	14997835	14998234	+	0.000	0.000	77
BG317	chr8	110156915	110157314	+	0.000	0.000	78
BG322	chr21	37199377	37199776	+	0.000	0.000	79
BG323	chr2	227518430	227518829	+	0.000	0.000	80
BG329	chr9	118529217	118529616	+	0.000	0.000	81
BG331	chr14_GL000194v1_random	55912	56311	+	0.000	0.000	82
BG334	chr2	167181144	167181543	+	0.000	0.000	83
BG338	chr17	29959318	29959717	+	0.000	0.000	84
BG341	chr1	91080617	91081016	+	0.000	0.000	85
BG342	chr3	169836739	169837138	+	0.000	0.000	86
BG352	chr2	57180040	57180439	+	0.000	0.000	87
BG354	chr6	34922345	34922744	+	0.000	0.000	88
BG355	chr10	108789917	108790316	+	0.000	0.000	89
BG368	chr3	152128348	152128747	+	0.000	0.000	90
BG374	chr12	68801534	68801933	+	0.000	0.000	91
BG377	chr15	75531161	75531560	+	0.000	0.000	92
BG384	chr1	44464378	44464777	+	0.000	0.000	93
BG386	chr1	154749383	154749782	+	0.000	0.000	94
BG391	chr5	169648674	169649073	+	0.000	0.000	95
BG392	chr8	22989267	22989666	+	0.000	0.000	96
BG397	chr12	100914021	100914420	+	0.000	0.000	97
BG398	chr2	10402311	10402710	+	0.000	0.000	98
BG409	chr2	20539860	20540259	+	0.000	0.000	99
BG410	chr4	6727189	6727588	+	0.000	0.000	100
BG414	chr1	63698395	63698794	+	0.000	0.000	101
BG429	chr1	16764134	16764533	+	0.000	0.000	102
BG430	chrUn_GL000218v1	55683	56082	+	0.000	0.000	103
BG434	chr11	4511732	4512131	+	0.000	0.000	104
BG444	chr2	36671021	36671420	+	0.000	0.000	105
BG445	chr10	115762072	115762471	+	0.000	0.000	106
BG450	chr1	44553761	44554160	+	0.000	0.000	107
BG451	chr11	27514542	27514941	+	0.000	0.000	108
BG460	chr7	128627144	128627543	+	0.000	0.000	109
BG462	chr16	48950047	48950446	+	0.000	0.000	110
BG464	chr3	29171219	29171618	+	0.000	0.000	111
BG469	chrX	34790090	34790489	+	0.000	0.000	112
BG470	chr14	29348514	29348913	+	0.000	0.000	113
BG475	chr1	6422888	6423287	+	0.000	0.000	114
BG485	chr11	46200827	46201226	+	0.000	0.000	115
BG487	chrUn_KI270466v1	771	1170	+	0.000	0.000	116
BG488	chr12	54052635	54053034	+	0.000	0.000	117
BG491	chr19	43148230	43148629	+	0.000	0.000	118
BG497	chr7	31956338	31956737	+	0.000	0.000	119
BG498	chr2	144449032	144449431	+	0.000	0.000	120
BG501	chr16	50351124	50351523	+	0.000	0.000	121
BG502	chr16	10114400	10114799	+	0.000	0.000	122
BG521	chr12	75959522	75959921	+	0.000	0.000	123
BG527	chr1	212187917	212188316	+	0.000	0.000	124
BG529	chr2	75248571	75248970	+	0.000	0.000	125
BG552	chr7	28749183	28749582	+	0.000	0.000	126
BG562	chr16	66382430	66382829	+	0.000	0.000	127
BG565	chr2	44553483	44553882	+	0.000	0.000	128
BG573	chr19	43470257	43470656	+	0.000	0.000	129
BG575	chr1	21201056	21201455	+	0.000	0.000	130
BG601	chrX	144930508	144930907	+	0.000	0.000	131
BG616	chr18	54968210	54968609	+	0.000	0.000	132
BG622	chr16	68031174	68031573	+	0.000	0.000	133
BG656	chr15	79793007	79793406	+	0.000	0.000	134
BG3	chr11	58565097	58565496	+	0.000	0.000	1
