#Name (cmd = mergePeaks /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/all_strict/bg.clean.pos /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/all_strict/target.clean..pos -d 500 -cobound 1 -prefix /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/all_strict/0.0138866753122819.2.tmp)	chr	start	end	strand	stat	stat2	/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/all_strict/target.clean..pos
BG133	chr21	41065390	41065789	+	0.000	0.000	132
BG134	chr3	9020369	9020768	+	0.000	0.000	133
BG135	chr15	38555983	38556382	+	0.000	0.000	134
BG136	chr2	153871561	153871960	+	0.000	0.000	135
BG137	chr11	47495260	47495659	+	0.000	0.000	136
BG139	chr20	15836647	15837046	+	0.000	0.000	137
BG140	chr3	69032114	69032513	+	0.000	0.000	138
BG141	chr1	21309273	21309672	+	0.000	0.000	139
BG142	chr13	113064423	113064822	+	0.000	0.000	140
BG144	chr10	88095261	88095660	+	0.000	0.000	141
BG145	chr21	26177272	26177671	+	0.000	0.000	142
BG146	chr2	37417374	37417773	+	0.000	0.000	143
BG147	chr6	122014980	122015379	+	0.000	0.000	144
BG148	chr1	48201990	48202389	+	0.000	0.000	145
BG149	chr10	77873903	77874302	+	0.000	0.000	146
BG150	chr2	216389687	216390086	+	0.000	0.000	147
BG151	chr8	42854574	42854973	+	0.000	0.000	148
BG152	chr12	132593921	132594320	+	0.000	0.000	149
BG153	chr11	106249890	106250289	+	0.000	0.000	150
BG156	chr9	118631186	118631585	+	0.000	0.000	151
BG157	chr19	50329111	50329510	+	0.000	0.000	152
BG158	chr3	111712485	111712884	+	0.000	0.000	153
BG159	chr16	78311133	78311532	+	0.000	0.000	154
BG160	chr6	43910673	43911072	+	0.000	0.000	155
BG161	chr7	76423481	76423880	+	0.000	0.000	156
BG162	chr9	22645912	22646311	+	0.000	0.000	157
BG163	chr11	20087228	20087627	+	0.000	0.000	158
BG164	chr2	232651973	232652372	+	0.000	0.000	159
BG166	chr13	33214235	33214634	+	0.000	0.000	160
BG167	chr2	67567304	67567703	+	0.000	0.000	161
BG168	chr5	122576266	122576665	+	0.000	0.000	162
BG169	chr2	216792363	216792762	+	0.000	0.000	163
BG170	chr1	218930902	218931301	+	0.000	0.000	164
BG171	chr5	127650651	127651050	+	0.000	0.000	165
BG172	chr16	66152790	66153189	+	0.000	0.000	166
BG173	chr5	122463203	122463602	+	0.000	0.000	167
BG174	chr11	47241919	47242318	+	0.000	0.000	168
BG175	chrX	9860145	9860544	+	0.000	0.000	169
BG176	chr16	48317584	48317983	+	0.000	0.000	170
BG177	chr4	185914578	185914977	+	0.000	0.000	171
BG180	chr8	128522683	128523082	+	0.000	0.000	172
BG181	chr14	21521507	21521906	+	0.000	0.000	173
BG182	chr17	49447877	49448276	+	0.000	0.000	174
BG183	chr2	118246746	118247145	+	0.000	0.000	175
BG184	chr20	53079242	53079641	+	0.000	0.000	176
BG185	chr21	26194469	26194868	+	0.000	0.000	177
BG188	chr5	95446011	95446410	+	0.000	0.000	178
BG189	chr8	11016414	11016813	+	0.000	0.000	179
BG190	chr2	7191935	7192334	+	0.000	0.000	180
BG191	chr11	130383594	130383993	+	0.000	0.000	181
BG192	chr6	159179940	159180339	+	0.000	0.000	182
BG193	chr5	33513774	33514173	+	0.000	0.000	183
BG194	chrX	41313448	41313847	+	0.000	0.000	184
BG195	chr3	74089852	74090251	+	0.000	0.000	185
BG196	chr6	18226541	18226940	+	0.000	0.000	186
BG197	chr7	136528307	136528706	+	0.000	0.000	187
BG198	chr21	39776593	39776992	+	0.000	0.000	188
BG199	chr4	131774359	131774758	+	0.000	0.000	189
BG200	chr12	106074554	106074953	+	0.000	0.000	190
BG201	chr2	86888083	86888482	+	0.000	0.000	191
BG202	chr6	34919631	34920030	+	0.000	0.000	192
BG203	chr5	125559306	125559705	+	0.000	0.000	193
BG204	chrX	75523027	75523426	+	0.000	0.000	194
BG205	chr16	21265468	21265867	+	0.000	0.000	195
BG206	chr5	128644845	128645244	+	0.000	0.000	196
BG207	chr5	32109182	32109581	+	0.000	0.000	197
BG209	chr5	54658065	54658464	+	0.000	0.000	198
BG210	chr11	40868103	40868502	+	0.000	0.000	199
BG211	chr19	28898274	28898673	+	0.000	0.000	200
BG212	chr22	47053790	47054189	+	0.000	0.000	201
BG213	chr4	10129218	10129617	+	0.000	0.000	202
BG214	chr12	29074983	29075382	+	0.000	0.000	203
BG215	chr8	133109603	133110002	+	0.000	0.000	204
BG216	chr2	236659720	236660119	+	0.000	0.000	205
BG217	chr2	228675064	228675463	+	0.000	0.000	206
BG218	chr1	222042156	222042555	+	0.000	0.000	207
BG219	chr16	55136390	55136789	+	0.000	0.000	208
BG220	chr17	29040288	29040687	+	0.000	0.000	209
BG221	chr12	124764868	124765267	+	0.000	0.000	210
BG222	chr3	140441025	140441424	+	0.000	0.000	211
BG223	chr10	24385823	24386222	+	0.000	0.000	212
BG224	chr3	14393754	14394153	+	0.000	0.000	213
BG225	chr1	153543429	153543828	+	0.000	0.000	214
BG226	chr1	60394411	60394810	+	0.000	0.000	215
BG227	chr3	99708110	99708509	+	0.000	0.000	216
BG228	chr7	45236647	45237046	+	0.000	0.000	217
BG229	chr9	3971581	3971980	+	0.000	0.000	218
BG230	chr5	10469667	10470066	+	0.000	0.000	219
BG231	chr6	78487454	78487853	+	0.000	0.000	220
BG232	chr6	55822794	55823193	+	0.000	0.000	221
BG233	chrX	38151461	38151860	+	0.000	0.000	222
BG234	chr1	85128285	85128684	+	0.000	0.000	223
BG235	chr1	119531983	119532382	+	0.000	0.000	224
BG236	chr1	230851310	230851709	+	0.000	0.000	225
BG237	chr10	2980837	2981236	+	0.000	0.000	226
BG240	chr4	19831957	19832356	+	0.000	0.000	227
BG241	chr5	53373731	53374130	+	0.000	0.000	228
BG242	chr7	37211064	37211463	+	0.000	0.000	229
BG243	chr1	117818463	117818862	+	0.000	0.000	230
BG244	chr10	110977672	110978071	+	0.000	0.000	231
BG245	chr14	102043586	102043985	+	0.000	0.000	232
BG246	chr4	25943357	25943756	+	0.000	0.000	233
BG247	chr12	27382137	27382536	+	0.000	0.000	234
BG248	chr18	13336760	13337159	+	0.000	0.000	235
BG249	chr4	188127453	188127852	+	0.000	0.000	236
BG251	chr6	83442762	83443161	+	0.000	0.000	237
BG252	chr7	37354822	37355221	+	0.000	0.000	238
BG253	chr5	107516472	107516871	+	0.000	0.000	239
BG254	chr2	41736086	41736485	+	0.000	0.000	240
BG255	chr8	116806352	116806751	+	0.000	0.000	241
BG256	chr11	117121189	117121588	+	0.000	0.000	242
BG257	chr12	42716514	42716913	+	0.000	0.000	243
BG258	chr5	131081899	131082298	+	0.000	0.000	244
BG259	chr7	38846243	38846642	+	0.000	0.000	245
BG260	chr6	87578415	87578814	+	0.000	0.000	246
BG261	chr20	54257083	54257482	+	0.000	0.000	247
BG263	chr20	2859392	2859791	+	0.000	0.000	248
BG265	chr17	75430338	75430737	+	0.000	0.000	249
BG266	chr3	169227966	169228365	+	0.000	0.000	250
BG267	chr9	111187359	111187758	+	0.000	0.000	251
BG268	chr4	110631865	110632264	+	0.000	0.000	252
BG269	chr12	100706029	100706428	+	0.000	0.000	253
BG270	chr1	69264012	69264411	+	0.000	0.000	254
BG271	chr1	167708974	167709373	+	0.000	0.000	255
BG272	chr1	185541785	185542184	+	0.000	0.000	256
BG274	chr5	180484386	180484785	+	0.000	0.000	257
BG275	chr7	117217743	117218142	+	0.000	0.000	258
BG276	chr16	17173333	17173732	+	0.000	0.000	259
BG277	chr10	109374195	109374594	+	0.000	0.000	260
BG278	chr3	143824738	143825137	+	0.000	0.000	261
BG279	chr5	124453427	124453826	+	0.000	0.000	262
BG281	chr5	131968422	131968821	+	0.000	0.000	263
BG282	chr6	159360299	159360698	+	0.000	0.000	264
BG283	chr5	124343484	124343883	+	0.000	0.000	265
BG284	chr5	127320624	127321023	+	0.000	0.000	266
BG285	chr8	29804211	29804610	+	0.000	0.000	267
BG286	chr2	215717876	215718275	+	0.000	0.000	268
BG287	chr7	95963494	95963893	+	0.000	0.000	269
BG288	chr15	95202502	95202901	+	0.000	0.000	270
BG289	chr2	68448950	68449349	+	0.000	0.000	271
BG291	chr8	139910226	139910625	+	0.000	0.000	272
BG292	chr1	188652668	188653067	+	0.000	0.000	273
BG294	chr8	130252823	130253222	+	0.000	0.000	274
BG295	chr12	100908494	100908893	+	0.000	0.000	275
BG297	chr18	2139652	2140051	+	0.000	0.000	276
BG298	chr22	27987509	27987908	+	0.000	0.000	277
BG299	chr4	108555729	108556128	+	0.000	0.000	278
BG300	chr1	162720980	162721379	+	0.000	0.000	279
BG301	chr7	111933641	111934040	+	0.000	0.000	280
BG302	chr1	28825998	28826397	+	0.000	0.000	281
BG303	chr12	101022098	101022497	+	0.000	0.000	282
BG304	chr5	168477079	168477478	+	0.000	0.000	283
BG305	chr6	111894294	111894693	+	0.000	0.000	284
BG306	chr4	14130483	14130882	+	0.000	0.000	285
BG307	chr9	106420620	106421019	+	0.000	0.000	286
BG308	chr15	72098067	72098466	+	0.000	0.000	287
BG310	chr11	106733753	106734152	+	0.000	0.000	288
BG311	chr9	34685681	34686080	+	0.000	0.000	289
BG312	chr9	109616407	109616806	+	0.000	0.000	290
BG313	chr1	182768974	182769373	+	0.000	0.000	291
BG314	chr20	14997835	14998234	+	0.000	0.000	292
BG315	chr17	55454902	55455301	+	0.000	0.000	293
BG316	chr22	30235661	30236060	+	0.000	0.000	294
BG317	chr8	110156915	110157314	+	0.000	0.000	295
BG318	chr18	47209216	47209615	+	0.000	0.000	296
BG320	chr12	84822536	84822935	+	0.000	0.000	297
BG322	chr21	37199377	37199776	+	0.000	0.000	298
BG323	chr2	227518430	227518829	+	0.000	0.000	299
BG324	chrX	54357929	54358328	+	0.000	0.000	300
BG325	chr11	132056680	132057079	+	0.000	0.000	301
BG326	chr15	77180728	77181127	+	0.000	0.000	302
BG327	chr2	190205631	190206030	+	0.000	0.000	303
BG328	chr4	72546478	72546877	+	0.000	0.000	304
BG329	chr9	118529217	118529616	+	0.000	0.000	305
BG330	chr3	184162654	184163053	+	0.000	0.000	306
BG331	chr14_GL000194v1_random	55912	56311	+	0.000	0.000	307
BG332	chr7	11540417	11540816	+	0.000	0.000	308
BG334	chr2	167181144	167181543	+	0.000	0.000	309
BG335	chr3	70028359	70028758	+	0.000	0.000	310
BG336	chr21	35275804	35276203	+	0.000	0.000	311
BG337	chr14	58864865	58865264	+	0.000	0.000	312
BG338	chr17	29959318	29959717	+	0.000	0.000	313
BG339	chr17	77002226	77002625	+	0.000	0.000	314
BG340	chr3	4044209	4044608	+	0.000	0.000	315
BG341	chr1	91080617	91081016	+	0.000	0.000	316
BG342	chr3	169836739	169837138	+	0.000	0.000	317
BG343	chr6	113457188	113457587	+	0.000	0.000	318
BG344	chr12	94779525	94779924	+	0.000	0.000	319
BG345	chr10	103504344	103504743	+	0.000	0.000	320
BG346	chr12	94805753	94806152	+	0.000	0.000	321
BG347	chr15	39400854	39401253	+	0.000	0.000	322
BG348	chr4	183823374	183823773	+	0.000	0.000	323
BG351	chr5	44943703	44944102	+	0.000	0.000	324
BG352	chr2	57180040	57180439	+	0.000	0.000	325
BG353	chr3	40847586	40847985	+	0.000	0.000	326
BG354	chr6	34922345	34922744	+	0.000	0.000	327
BG355	chr10	108789917	108790316	+	0.000	0.000	328
BG356	chr10	76306877	76307276	+	0.000	0.000	329
BG357	chr3	24582637	24583036	+	0.000	0.000	330
BG358	chr14	86799182	86799581	+	0.000	0.000	331
BG361	chr20	53408691	53409090	+	0.000	0.000	332
BG363	chr16	73232491	73232890	+	0.000	0.000	333
BG364	chr20	57236882	57237281	+	0.000	0.000	334
BG365	chr17	36192329	36192728	+	0.000	0.000	335
BG366	chr7	93946144	93946543	+	0.000	0.000	336
BG368	chr3	152128348	152128747	+	0.000	0.000	337
BG369	chr6	22821926	22822325	+	0.000	0.000	338
BG370	chr14	34113233	34113632	+	0.000	0.000	339
BG371	chr2	6823081	6823480	+	0.000	0.000	340
BG373	chr12	14239430	14239829	+	0.000	0.000	341
BG374	chr12	68801534	68801933	+	0.000	0.000	342
BG376	chr11	92894131	92894530	+	0.000	0.000	343
BG377	chr15	75531161	75531560	+	0.000	0.000	344
BG378	chr12	80064239	80064638	+	0.000	0.000	345
BG380	chr3	188124136	188124535	+	0.000	0.000	346
BG381	chr12	6267354	6267753	+	0.000	0.000	347
BG382	chr5	136295887	136296286	+	0.000	0.000	348
BG383	chr9	94199763	94200162	+	0.000	0.000	349
BG384	chr1	44464378	44464777	+	0.000	0.000	350
BG386	chr1	154749383	154749782	+	0.000	0.000	351
BG388	chr11	71253111	71253510	+	0.000	0.000	352
BG391	chr5	169648674	169649073	+	0.000	0.000	353
BG392	chr8	22989267	22989666	+	0.000	0.000	354
BG393	chr11	132648793	132649192	+	0.000	0.000	355
BG394	chr5	170552713	170553112	+	0.000	0.000	356
BG396	chr1	38451508	38451907	+	0.000	0.000	357
BG397	chr12	100914021	100914420	+	0.000	0.000	358
BG398	chr2	10402311	10402710	+	0.000	0.000	359
BG399	chr5	90983139	90983538	+	0.000	0.000	360
BG400	chr14	84760481	84760880	+	0.000	0.000	361
BG401	chr7	156923114	156923513	+	0.000	0.000	362
BG402	chr1	168224110	168224509	+	0.000	0.000	363
BG403	chr1	219771022	219771421	+	0.000	0.000	364
BG404	chr1	231885455	231885854	+	0.000	0.000	365
BG409	chr2	20539860	20540259	+	0.000	0.000	366
BG410	chr4	6727189	6727588	+	0.000	0.000	367
BG412	chr5	153513153	153513552	+	0.000	0.000	368
BG414	chr1	63698395	63698794	+	0.000	0.000	369
BG415	chr12	106131708	106132107	+	0.000	0.000	370
BG416	chr20	22949754	22950153	+	0.000	0.000	371
BG417	chr5	128920340	128920739	+	0.000	0.000	372
BG418	chr8	9190492	9190891	+	0.000	0.000	373
BG421	chr4	186948894	186949293	+	0.000	0.000	374
BG423	chr7	139687285	139687684	+	0.000	0.000	375
BG424	chr11	121716104	121716503	+	0.000	0.000	376
BG428	chr12	64943638	64944037	+	0.000	0.000	377
BG429	chr1	16764134	16764533	+	0.000	0.000	378
BG430	chrUn_GL000218v1	55683	56082	+	0.000	0.000	379
BG431	chr21	34762799	34763198	+	0.000	0.000	380
BG432	chr17	65287047	65287446	+	0.000	0.000	381
BG433	chr7	28784507	28784906	+	0.000	0.000	382
BG434	chr11	4511732	4512131	+	0.000	0.000	383
BG436	chr2	128633512	128633911	+	0.000	0.000	384
BG439	chr3	193972822	193973221	+	0.000	0.000	385
BG440	chr5	14913051	14913450	+	0.000	0.000	386
BG441	chr6	55032967	55033366	+	0.000	0.000	387
BG443	chr4	76998560	76998959	+	0.000	0.000	388
BG444	chr2	36671021	36671420	+	0.000	0.000	389
BG445	chr10	115762072	115762471	+	0.000	0.000	390
BG448	chr2	216083860	216084259	+	0.000	0.000	391
BG449	chr3	10981930	10982329	+	0.000	0.000	392
BG450	chr1	44553761	44554160	+	0.000	0.000	393
BG451	chr11	27514542	27514941	+	0.000	0.000	394
BG452	chr3	40951650	40952049	+	0.000	0.000	395
BG454	chr5	56564573	56564972	+	0.000	0.000	396
BG456	chr2	49251791	49252190	+	0.000	0.000	397
BG457	chr16	66093161	66093560	+	0.000	0.000	398
BG458	chrX	133813988	133814387	+	0.000	0.000	399
BG459	chr12	67720357	67720756	+	0.000	0.000	400
BG460	chr7	128627144	128627543	+	0.000	0.000	401
BG462	chr16	48950047	48950446	+	0.000	0.000	402
BG463	chr17	5798115	5798514	+	0.000	0.000	403
BG464	chr3	29171219	29171618	+	0.000	0.000	404
BG465	chr4	7392967	7393366	+	0.000	0.000	405
BG469	chrX	34790090	34790489	+	0.000	0.000	406
BG470	chr14	29348514	29348913	+	0.000	0.000	407
BG472	chr5	131097304	131097703	+	0.000	0.000	408
BG473	chr6	90403656	90404055	+	0.000	0.000	409
BG474	chr14	53670729	53671128	+	0.000	0.000	410
BG475	chr1	6422888	6423287	+	0.000	0.000	411
BG478	chr3	54817629	54818028	+	0.000	0.000	412
BG479	chr6	159577583	159577982	+	0.000	0.000	413
BG481	chr14	102050553	102050952	+	0.000	0.000	414
BG482	chr2	7539755	7540154	+	0.000	0.000	415
BG485	chr11	46200827	46201226	+	0.000	0.000	416
BG487	chrUn_KI270466v1	771	1170	+	0.000	0.000	417
BG488	chr12	54052635	54053034	+	0.000	0.000	418
BG491	chr19	43148230	43148629	+	0.000	0.000	419
BG492	chr11	106243058	106243457	+	0.000	0.000	420
BG493	chrX	99798904	99799303	+	0.000	0.000	421
BG495	chr12	94264056	94264455	+	0.000	0.000	422
BG497	chr7	31956338	31956737	+	0.000	0.000	423
BG498	chr2	144449032	144449431	+	0.000	0.000	424
BG499	chr9	84709514	84709913	+	0.000	0.000	425
BG500	chr5	121805934	121806333	+	0.000	0.000	426
BG501	chr16	50351124	50351523	+	0.000	0.000	427
BG502	chr16	10114400	10114799	+	0.000	0.000	428
BG503	chr4	131610504	131610903	+	0.000	0.000	429
BG504	chr1	230744333	230744732	+	0.000	0.000	430
BG507	chr4	53622836	53623235	+	0.000	0.000	431
BG509	chr9	14062732	14063131	+	0.000	0.000	432
BG516	chr11	131675526	131675925	+	0.000	0.000	433
BG520	chr1	219710766	219711165	+	0.000	0.000	434
BG521	chr12	75959522	75959921	+	0.000	0.000	435
BG522	chr8	129088068	129088467	+	0.000	0.000	436
BG525	chr10	75612850	75613249	+	0.000	0.000	437
BG527	chr1	212187917	212188316	+	0.000	0.000	438
BG529	chr2	75248571	75248970	+	0.000	0.000	439
BG534	chr9	114173121	114173520	+	0.000	0.000	440
BG536	chr18	76468834	76469233	+	0.000	0.000	441
BG538	chr6	344896	345295	+	0.000	0.000	442
BG540	chr8	103652156	103652555	+	0.000	0.000	443
BG542	chr17	20200191	20200590	+	0.000	0.000	444
BG543	chr2	190530267	190530666	+	0.000	0.000	445
BG544	chr8	107104801	107105200	+	0.000	0.000	446
BG547	chr17	21425688	21426087	+	0.000	0.000	447
BG550	chr8	71842043	71842442	+	0.000	0.000	448
BG552	chr7	28749183	28749582	+	0.000	0.000	449
BG556	chr10	4431393	4431792	+	0.000	0.000	450
BG558	chr20	12166013	12166412	+	0.000	0.000	451
BG559	chr1	3366059	3366458	+	0.000	0.000	452
BG562	chr16	66382430	66382829	+	0.000	0.000	453
BG564	chr5	125343066	125343465	+	0.000	0.000	454
BG565	chr2	44553483	44553882	+	0.000	0.000	455
BG567	chr14	91580791	91581190	+	0.000	0.000	456
BG568	chr2	205496739	205497138	+	0.000	0.000	457
BG569	chr3	134718742	134719141	+	0.000	0.000	458
BG570	chr8	133689604	133690003	+	0.000	0.000	459
BG573	chr19	43470257	43470656	+	0.000	0.000	460
BG574	chr4	187656950	187657349	+	0.000	0.000	461
BG575	chr1	21201056	21201455	+	0.000	0.000	462
BG576	chr3	183988135	183988534	+	0.000	0.000	463
BG579	chr15	68497347	68497746	+	0.000	0.000	464
BG581	chr20	51884581	51884980	+	0.000	0.000	465
BG583	chr3	71517257	71517656	+	0.000	0.000	466
BG586	chr16	73771658	73772057	+	0.000	0.000	467
BG593	chr8	11066949	11067348	+	0.000	0.000	468
BG596	chr1	30732708	30733107	+	0.000	0.000	469
BG597	chr18	80196505	80196904	+	0.000	0.000	470
BG601	chrX	144930508	144930907	+	0.000	0.000	471
BG605	chr17	50834819	50835218	+	0.000	0.000	472
BG607	chr1	219020396	219020795	+	0.000	0.000	473
BG613	chrX	13868618	13869017	+	0.000	0.000	474
BG615	chr12	66025368	66025767	+	0.000	0.000	475
BG616	chr18	54968210	54968609	+	0.000	0.000	476
BG617	chr2	98772187	98772586	+	0.000	0.000	477
BG618	chr5	84372286	84372685	+	0.000	0.000	478
BG620	chrX	33211397	33211796	+	0.000	0.000	479
BG621	chr17	39757992	39758391	+	0.000	0.000	480
BG622	chr16	68031174	68031573	+	0.000	0.000	481
BG634	chr5	158054305	158054704	+	0.000	0.000	482
BG643	chr20	33079275	33079674	+	0.000	0.000	483
BG648	chr21	36627264	36627663	+	0.000	0.000	484
BG649	chr4	52864842	52865241	+	0.000	0.000	485
BG656	chr15	79793007	79793406	+	0.000	0.000	486
BG657	chr2	199603715	199604114	+	0.000	0.000	487
