seqnames,start,end,width,strand,name,score,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr9,118631185,118631585,401,*,152228,0,Distal Intergenic,9,118592786,118597253,4468,2,105376249,ENST00000770014.1,-33932,NA,LOC105376249,uncharacterized LOC105376249
chr7,136303041,136303441,401,*,138564,0,Promoter (<=1kb),7,136304411,136437444,133034,1,105375523,ENST00000670875.1,-970,ENSG00000232053,LOC105375523,uncharacterized LOC105375523
chr13,37741499,37741899,401,*,39158,0,Intron (ENST00000379705.8/7223, intron 3 of 10),13,37636843,37783333,146491,2,7223,ENST00000379679.5,41434,ENSG00000133107,TRPC4,transient receptor potential cation channel subfamily C member 4
chr11,48524670,48525070,401,*,25353,0,Distal Intergenic,11,48488793,48489722,930,1,403253,ENST00000446524.2,35877,ENSG00000237388,OR4A47,olfactory receptor family 4 subfamily A member 47
chr2,144218218,144218618,401,*,78426,0,Intron (ENST00000392869.6/79712, intron 1 of 10),2,143946023,144211582,265560,2,79712,ENST00000392871.6,-6636,ENSG00000121964,QTMAN,queuosine-tRNA mannosyltransferase
chr2,86888082,86888482,401,*,76055,0,Intron (ENST00000616781.4/100286979, intron 10 of 14),2,86871301,86912978,41678,1,100286979,ENST00000426186.2,16781,NA,ANAPC1P1,ANAPC1 pseudogene 1
chr6,91566515,91566915,401,*,126941,0,Intron (ENST00000656997.1/ENST00000656997.1, intron 2 of 3),6,91521660,91521737,78,1,100616174,ENST00000577473.1,44855,ENSG00000263734,MIR4643,microRNA 4643
chr7,136637812,136638212,401,*,138569,0,Distal Intergenic,7,136743757,136752293,8537,2,105375524,ENST00000807585.1,114081,ENSG00000234352,LOC105375524,uncharacterized LOC105375524
chr8,133109602,133110002,401,*,146456,0,Intron (ENST00000220616.9/7038, intron 43 of 47),8,133113503,133134891,21389,1,7038,ENST00000521107.1,-3501,ENSG00000042832,TG,thyroglobulin
chr6,91562961,91563361,401,*,126940,0,Intron (ENST00000656997.1/ENST00000656997.1, intron 2 of 3),6,91521660,91521737,78,1,100616174,ENST00000577473.1,41301,ENSG00000263734,MIR4643,microRNA 4643
chr12,101181797,101182197,401,*,35929,0,Intron (ENST00000536262.3/160728, intron 9 of 14),12,101155493,101210238,54746,2,160728,ENST00000536262.3,28041,ENSG00000256870,SLC5A8,solute carrier family 5 member 8
chr2,46799243,46799643,401,*,74011,0,Intron (ENST00000650611.2/388948, intron 3 of 7),2,46816571,46859013,42443,1,100134259,ENST00000422294.5,-16928,ENSG00000222005,LINC01119,long intergenic non-protein coding RNA 1119
chr8,22989266,22989666,401,*,140562,0,Promoter (<=1kb),8,22953619,22990602,36984,2,107984124,ENST00000745184.1,936,NA,RHOBTB2-AS1,RHOBTB2 antisense RNA 1
chr1,153734000,153734400,401,*,8767,0,Intron (ENST00000318967.7/65123, intron 1 of 29),1,153728483,153774079,45597,1,65123,ENST00000481797.5,5517,ENSG00000143624,INTS3,integrator complex subunit 3
chr20,2859391,2859791,401,*,84615,0,Promoter (1-2kb),20,2860970,2864230,3261,1,64601,ENST00000481812.4,-1179,ENSG00000215305,VPS16,VPS16 core subunit of CORVET and HOPS complexes
chr2,11118749,11119149,401,*,71616,0,Intron (ENST00000536743.5/285150, intron 6 of 7),2,11124527,11126479,1953,2,285150,ENST00000736654.1,7330,ENSG00000145063,FLJ33534,Putative uncharacterized protein FLJ33534
chr10,109183380,109183780,401,*,21010,0,Distal Intergenic,10,108710518,108839363,128846,1,105378478,ENST00000421481.1,472862,ENSG00000223381,LINC02661,long intergenic non-protein coding RNA 2661
chr3,111712484,111712884,401,*,98922,0,Intron (ENST00000636933.2/257068, intron 2 of 3),3,111732461,111778458,45998,1,90102,ENST00000474484.1,-19577,ENSG00000144824,PHLDB2,pleckstrin homology like domain family B member 2
chr6,98929741,98930141,401,*,127012,0,Intron (ENST00000369244.7/26235, intron 2 of 9),6,98868535,98947946,79412,2,26235,ENST00000369244.7,17805,ENSG00000112234,FBXL4,F-box and leucine rich repeat protein 4
chr2,11811225,11811625,401,*,71682,0,Intron (ENST00000449576.6/23175, intron 18 of 21),2,11816153,11826513,10361,1,23175,ENST00000475922.1,-4528,ENSG00000134324,LPIN1,lipin 1
chr22,47053789,47054189,401,*,93070,0,Intron (ENST00000380995.5/25771, intron 12 of 13),22,47115838,47117215,1378,2,124905139,ENST00000639527.1,63026,NA,LOC124905139,uncharacterized protein UNQ6126/PRO20091
chr16,10114399,10114799,401,*,53034,0,Intron (ENST00000396573.6/2903, intron 3 of 13),16,9760413,10121576,361164,2,2903,ENST00000674742.1,6777,ENSG00000183454,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A
chr4,26685695,26686095,401,*,105694,0,Intron (ENST00000512840.5/55296, intron 12 of 12),4,26702309,26702388,80,1,124900179,ENST00000364129.1,-16214,ENSG00000200999,LOC124900179,small nucleolar RNA SNORD74
chr16,48918538,48918938,401,*,54393,0,Intron (ENST00000768709.1/ENST00000768709.1, intron 1 of 3),16,49088285,49114077,25793,2,105371241,ENST00000737824.1,195139,NA,LOC105371241,uncharacterized LOC105371241
chr9,3971580,3971980,401,*,147343,0,Promoter (<=1kb),9,3971867,3994656,22790,1,105375964,ENST00000722058.1,0,NA,LOC105375964,uncharacterized LOC105375964
chr9,34685680,34686080,401,*,148571,0,Intron (ENST00000837931.1/23349, intron 1 of 3),9,34689572,34690238,667,2,6363,ENST00000485502.1,4158,ENSG00000172724,CCL19,C-C motif chemokine ligand 19
chr16,48950046,48950446,401,*,54394,0,Distal Intergenic,16,49088285,49114077,25793,2,105371241,ENST00000737824.1,163631,NA,LOC105371241,uncharacterized LOC105371241
chr3,69033477,69033877,401,*,97315,0,Exon (ENST00000601511.5/ENST00000601511.5, exon 3 of 4),3,69024799,69028098,3300,2,7110,ENST00000645406.1,-5379,ENSG00000144747,TMF1,TATA element modulatory factor 1
chr9,32875210,32875610,401,*,148407,0,Distal Intergenic,9,32840598,32841762,1165,2,107987060,ENST00000424177.1,-33448,NA,LOC107987060,uncharacterized LOC107987060
chr4,85722823,85723223,401,*,107828,0,Promoter (<=1kb),4,85722468,85722533,66,1,100616349,ENST00000580577.3,355,ENSG00000266421,MIR4451,microRNA 4451
chr8,121609622,121610022,401,*,145521,0,Distal Intergenic,8,121639293,121644406,5114,1,594842,ENST00000518865.6,-29271,ENSG00000248690,HAS2-AS1,HAS2 antisense RNA 1
chr6,166636449,166636849,401,*,131061,0,Promoter (2-3kb),6,166633956,166649096,15141,1,107986671,ENST00000724941.1,2493,NA,LOC107986671,uncharacterized LOC107986671
chr20,60424458,60424858,401,*,88270,0,Intron (ENST00000668055.1/284757, intron 3 of 4),20,60469672,60470721,1050,2,101928048,ENST00000812782.1,45863,NA,LOC101928048,uncharacterized LOC101928048
chr12,2745602,2746002,401,*,30501,0,Intron (ENST00000670289.4/107984539, intron 4 of 4),12,2740075,2744364,4290,1,107984539,ENST00000839538.1,5527,ENSG00000274659,LINC02371,long intergenic non-protein coding RNA 2371
chr10,109447615,109448015,401,*,21020,0,Distal Intergenic,10,109868636,109871032,2397,2,7511,ENST00000494499.1,423017,ENSG00000108039,XPNPEP1,X-prolyl aminopeptidase 1
chr7,40747442,40747842,401,*,133724,0,Intron (ENST00000401647.7/79783, intron 11 of 12),7,40793182,40860757,67576,1,79783,ENST00000464028.1,-45340,ENSG00000175600,SUGCT,succinyl-CoA:glutarate-CoA transferase
chr16,49013111,49013511,401,*,54399,0,Distal Intergenic,16,49088285,49114077,25793,2,105371241,ENST00000737824.1,100566,NA,LOC105371241,uncharacterized LOC105371241
chr2,211924006,211924406,401,*,82057,0,Intron (ENST00000342788.9/2066, intron 3 of 27),2,211725152,211960762,235611,2,2066,ENST00000484474.1,36356,ENSG00000178568,ERBB4,erb-b2 receptor tyrosine kinase 4
chr7,127900270,127900670,401,*,137860,0,Intron (ENST00000354725.8/27044, intron 13 of 23),7,127904355,128074622,170268,1,27044,ENST00000484767.5,-3685,ENSG00000197157,SND1,staphylococcal nuclease and tudor domain containing 1
chr9,72882410,72882810,401,*,149239,0,Distal Intergenic,9,72871724,72874178,2455,2,101927258,ENST00000654093.3,-8232,ENSG00000236849,LINC01474,long intergenic non-protein coding RNA 1474
chr18,25223840,25224240,401,*,64469,0,Promoter (<=1kb),18,25136718,25224789,88072,2,25925,ENST00000577775.1,549,ENSG00000198795,ZNF521,zinc finger protein 521
chr10,109259051,109259451,401,*,21012,0,Distal Intergenic,10,108710518,108839363,128846,1,105378478,ENST00000421481.1,548533,ENSG00000223381,LINC02661,long intergenic non-protein coding RNA 2661
chr1,145800886,145801286,401,*,8270,0,Intron (ENST00000582693.5/27246, intron 1 of 8),1,145793844,145795369,1526,2,27246,ENST00000782475.1,-5517,ENSG00000265491,RNF115,ring finger protein 115
chr12,22935341,22935741,401,*,31702,0,Intron (ENST00000538317.6/107984516, intron 3 of 11),12,22964567,23188844,224278,1,107984516,ENST00000842738.1,-28826,ENSG00000256995,LINC02955,long intergenic non-protein coding RNA 2955
chr1,154741306,154741706,401,*,8852,0,Intron (ENST00000271915.9/3782, intron 3 of 7),1,154726676,154727576,901,1,124904429,ENST00000735992.1,14630,NA,LOC124904429,uncharacterized LOC124904429
chrX,7515260,7515660,401,*,154232,0,Exon (ENST00000658154.1/412, exon 12 of 12),23,7593237,7615267,22031,1,124905241,ENST00000742934.1,-77577,NA,LOC124905241,uncharacterized LOC124905241
chr8,110105436,110105836,401,*,144914,0,Exon (ENST00000466509.1/ENST00000466509.1, exon 1 of 1),8,109963636,109975771,12136,2,27012,ENST00000524391.6,-129665,ENSG00000164794,KCNV1,potassium voltage-gated channel modifier subfamily V member 1
chr11,29024721,29025121,401,*,24316,0,Intron (ENST00000513853.6/105376603, intron 2 of 3),11,29044690,29064308,19619,1,105376603,ENST00000666135.1,-19569,ENSG00000249867,LINC02742,long intergenic non-protein coding RNA 2742
chr11,60835452,60835852,401,*,25539,0,Intron (ENST00000753859.1/105369322, intron 1 of 1),11,60842113,60851081,8969,1,79080,ENST00000227520.10,-6261,ENSG00000110104,CCDC86,coiled-coil domain containing 86
chrX,41313447,41313847,401,*,155502,0,Exon (ENST00000780892.1/ENST00000780892.1, exon 2 of 5),23,41333348,41341494,8147,1,1654,ENST00000610559.5,-19501,ENSG00000215301,DDX3X,DEAD-box helicase 3 X-linked
chr21,28758263,28758663,401,*,89148,0,Intron (ENST00000824757.1/29104, intron 1 of 8),21,28577063,28754263,177201,2,29104,ENST00000824785.1,-4000,ENSG00000156239,HEMK2,HemK methyltransferase 2, ETF1 glutamine and histone H4 lysine
chr1,118905206,118905606,401,*,7988,0,Intron (ENST00000207157.7/6913, intron 6 of 7),1,118883047,118914125,31079,2,6913,ENST00000449873.5,8519,ENSG00000092607,TBX15,T-box transcription factor 15
chr1,16764133,16764533,401,*,1297,0,Promoter (<=1kb),1,16755307,16764480,9174,2,11223,ENST00000624762.3,0,ENSG00000186715,MST1L,macrophage stimulating 1 like (pseudogene)
chr22,16989932,16990332,401,*,90578,0,Intron (ENST00000400588.5/128954, intron 2 of 9),22,16962459,17007999,45541,2,128954,ENST00000651146.1,17667,ENSG00000215568,GAB4,GRB2 associated binding protein family member 4
chr13,83819194,83819594,401,*,40978,0,Distal Intergenic,13,83650236,83815803,165568,2,105370286,ENST00000787372.1,-3391,NA,LOC105370286,uncharacterized LOC105370286
chr7,33550340,33550740,401,*,133299,0,Intron (ENST00000672717.1/27241, intron 20 of 21),7,33538183,33652674,114492,1,124901611,ENST00000672758.1,12157,NA,LOC124901611,uncharacterized LOC124901611
chr1,162111586,162111986,401,*,9383,0,Intron (ENST00000361897.10/9722, intron 1 of 9),1,162070090,162367492,297403,1,9722,ENST00000430120.3,41496,ENSG00000198929,NOS1AP,nitric oxide synthase 1 adaptor protein
chr12,100827925,100828325,401,*,35911,0,Intron (ENST00000549155.6/121601, intron 3 of 10),12,100794807,101128641,333835,1,121601,ENST00000392979.7,33118,ENSG00000151572,ANO4,anoctamin 4
chr12,100914020,100914420,401,*,35916,0,Intron (ENST00000549155.6/121601, intron 4 of 10),12,100987119,101042381,55263,1,121601,ENST00000549234.1,-72699,ENSG00000151572,ANO4,anoctamin 4
chr7,136588208,136588608,401,*,138568,0,Distal Intergenic,7,136427395,136437410,10016,1,105375523,ENST00000454735.1,160813,ENSG00000232053,LOC105375523,uncharacterized LOC105375523
chr18,74271653,74272053,401,*,66649,0,Intron (ENST00000340533.9/1528, intron 1 of 4),18,74253295,74261681,8387,2,1528,ENST00000580678.5,-9972,ENSG00000166347,CYB5A,cytochrome b5 type A
chr12,11040207,11040607,401,*,31062,0,Intron (ENST00000536668.2/100533464, intron 2 of 9),12,10891461,11047041,155581,2,5554,ENST00000536086.2,6434,ENSG00000231887,PRH1,proline rich protein HaeIII subfamily 1
chr8,135004823,135005223,401,*,146647,0,Distal Intergenic,8,134864991,134881900,16910,1,101927845,ENST00000771128.1,139832,ENSG00000253433,LOC101927845,uncharacterized LOC101927845
chr1,46606681,46607081,401,*,3830,0,Promoter (2-3kb),1,46568456,46604294,35839,2,8569,ENST00000496619.6,-2387,ENSG00000079277,MKNK1,MAPK interacting serine/threonine kinase 1
chr5,87138403,87138803,401,*,116300,0,Promoter (<=1kb),5,87066665,87138401,71737,2,105379065,ENST00000748826.1,-2,NA,LOC105379065,uncharacterized LOC105379065
chr7,151851161,151851561,401,*,139276,0,Intron (ENST00000287878.9/51422, intron 1 of 15),7,151837268,151876788,39521,2,51422,ENST00000474383.1,25227,ENSG00000106617,PRKAG2,protein kinase AMP-activated non-catalytic subunit gamma 2
chr1,152699712,152700112,401,*,8707,0,Promoter (1-2kb),1,152698345,152699442,1098,1,353139,ENST00000368779.2,1367,ENSG00000187173,LCE2A,late cornified envelope 2A
chr1,237031461,237031861,401,*,14186,0,Distal Intergenic,1,237042184,237833988,791805,1,6262,ENST00000366574.7,-10323,ENSG00000198626,RYR2,ryanodine receptor 2
chr12,75959521,75959921,401,*,34600,0,Promoter (2-3kb),12,75962116,76005870,43755,1,124902969,ENST00000813228.1,-2195,NA,LOC124902969,uncharacterized LOC124902969
chr2,221791870,221792270,401,*,82776,0,Intron (ENST00000781414.1/ENST00000781414.1, intron 1 of 2),2,221653595,221670543,16949,2,105373898,ENST00000757484.1,-121327,NA,LOC105373898,uncharacterized LOC105373898
chr11,18364656,18365056,401,*,23827,0,Intron (ENST00000453096.6/2965, intron 15 of 15),11,18352098,18358642,6545,1,2965,ENST00000526282.1,12558,ENSG00000110768,GTF2H1,general transcription factor IIH subunit 1
chrUn_GL000218v1,55682,56082,401,*,153937,0,Promoter (<=1kb),333,51867,54893,3027,2,389834,ENST00000612565.1,-789,NA,LOC389834,ankyrin repeat domain 57 pseudogene
chr3,18069571,18069971,401,*,94258,0,Intron (ENST00000414318.2/9779, intron 1 of 8),3,17860922,18041541,180620,1,339862,ENST00000624232.2,208649,NA,BALR6,B-cell acute lymphoblastic leukemia associated long RNA 6
chr7,96962343,96962743,401,*,136479,0,Exon (ENST00000430027.3/285987, exon 3 of 3),7,96978266,96980033,1768,2,285987,ENST00000841699.1,17290,NA,DLX6-AS1,DLX6 antisense RNA 1
chr16,21265467,21265867,401,*,53665,0,Intron (ENST00000574448.5/1428, intron 6 of 9),16,21261083,21262336,1254,2,1428,ENST00000572113.1,-3131,ENSG00000103316,CRYM,crystallin mu
chr5,39446603,39447003,401,*,114021,0,Intron (ENST00000511792.5/1601, intron 1 of 2),5,39393258,39462300,69043,2,1601,ENST00000511792.5,15297,ENSG00000153071,DAB2,DAB adaptor protein 2
chr2,212021971,212022371,401,*,82060,0,Intron (ENST00000342788.9/2066, intron 2 of 27),2,211725152,211960762,235611,2,2066,ENST00000484474.1,-61209,ENSG00000178568,ERBB4,erb-b2 receptor tyrosine kinase 4
chr5,87899539,87899939,401,*,116324,0,Intron (ENST00000815243.1/124901023, intron 2 of 3),5,87856395,87867876,11482,2,124901023,ENST00000815254.1,-31663,NA,LOC124901023,uncharacterized LOC124901023
chr20,8903681,8904081,401,*,85025,0,Intron (ENST00000487210.5/23236, intron 24 of 26),20,8880900,8884878,3979,1,23236,ENST00000637254.1,22781,ENSG00000182621,PLCB1,phospholipase C beta 1
chr3,15979518,15979918,401,*,94093,0,Intron (ENST00000747296.1/107986064, intron 3 of 3),3,15970003,15971253,1251,1,107986064,ENST00000655579.1,9515,NA,LOC107986064,uncharacterized LOC107986064
chr12,61564518,61564918,401,*,33843,0,Distal Intergenic,12,61668302,61702771,34470,2,105369793,ENST00000668912.1,137853,NA,LOC105369793,uncharacterized LOC105369793
chr2,182318700,182319100,401,*,80512,0,Intron (ENST00000462938.6/5136, intron 2 of 15),2,182167887,182242063,74177,2,5136,ENST00000358139.6,-76637,ENSG00000115252,PDE1A,phosphodiesterase 1A
chr14,32620618,32621018,401,*,42898,0,Intron (ENST00000280979.9/9472, intron 7 of 13),14,32616978,32732765,115788,1,9472,ENST00000555950.5,3640,ENSG00000151320,AKAP6,A-kinase anchoring protein 6
chr8,110156914,110157314,401,*,144916,0,Distal Intergenic,8,109963636,109975771,12136,2,27012,ENST00000524391.6,-181143,ENSG00000164794,KCNV1,potassium voltage-gated channel modifier subfamily V member 1
chr1,212187916,212188316,401,*,12539,0,Intron (ENST00000444750.1/ENST00000444750.1, intron 3 of 3),1,212225280,212226538,1259,2,101929541,ENST00000412221.5,38222,ENSG00000226251,LINC02608,long intergenic non-protein coding RNA 2608
chr2,118246745,118247145,401,*,77402,0,Intron (ENST00000807543.1/ENST00000807543.1, intron 3 of 4),2,118222556,118224018,1463,2,105373578,ENST00000744807.1,-22727,NA,LOC105373578,uncharacterized LOC105373578
chr3,43423148,43423548,401,*,95560,0,Intron (ENST00000468628.2/54861, intron 2 of 2),3,43346923,43352152,5230,2,100873954,ENST00000607513.2,-70996,NA,SNRK-AS1,SNRK antisense RNA 1
chr3,176262105,176262505,401,*,102701,0,Distal Intergenic,3,176324396,176380711,56316,1,124909460,ENST00000803293.1,-61891,NA,LOC124909460,uncharacterized LOC124909460
chr18,3972771,3973171,401,*,63475,0,Intron (ENST00000767594.1/101410534, intron 1 of 3),18,3962353,4014712,52360,1,101410534,ENST00000652891.1,10418,ENSG00000263878,DLGAP1-AS4,DLGAP1 antisense RNA 4
chr18,2914743,2915143,401,*,63384,0,3' UTR,18,2906569,2913162,6594,1,84034,ENST00000583776.1,8174,ENSG00000132205,EMILIN2,elastin microfibril interfacer 2
chr17,29959317,29959717,401,*,59015,0,Intron (ENST00000448319.5/374786, intron 3 of 3),17,29969183,30108452,139270,1,374786,ENST00000419434.5,-9466,ENSG00000176927,EFCAB5,EF-hand calcium binding domain 5
chr10,109430110,109430510,401,*,21019,0,Distal Intergenic,10,109868636,109871032,2397,2,7511,ENST00000494499.1,440522,ENSG00000108039,XPNPEP1,X-prolyl aminopeptidase 1
chr2,20539859,20540259,401,*,72195,0,Promoter (<=1kb),2,20525929,20540146,14218,2,102724948,ENST00000804970.1,0,ENSG00000304619,LOC102724948,uncharacterized LOC102724948
chr2,33788047,33788447,401,*,73097,0,Intron (ENST00000771865.1/104355287, intron 1 of 3),2,33797814,33855786,57973,1,104355287,ENST00000771874.1,-9367,ENSG00000228262,LINC01317,long intergenic non-protein coding RNA 1317
chr15,95069009,95069409,401,*,52069,0,Promoter (<=1kb),15,95068709,95123179,54471,1,105370991,ENST00000831762.1,300,NA,LOC105370991,uncharacterized LOC105370991
chr2,68448949,68449349,401,*,75121,0,Exon (ENST00000444697.1/ENST00000444697.1, exon 1 of 3),2,68459422,68467294,7873,2,554251,ENST00000377957.4,17945,ENSG00000204923,FBXO48,F-box protein 48
chr12,57000843,57001243,401,*,33579,0,3' UTR,12,56996259,56998441,2183,1,11318,ENST00000556850.1,4584,ENSG00000166856,ACKR5,atypical chemokine receptor 5
chr4,21879191,21879591,401,*,105419,0,Intron (ENST00000382152.7/80333, intron 1 of 8),4,21729850,21855715,125866,2,80333,ENST00000512102.1,-23476,ENSG00000185774,KCNIP4,potassium voltage-gated channel interacting protein 4
chr3,14150457,14150857,401,*,93917,0,Promoter (1-2kb),3,14147467,14148928,1462,2,7508,ENST00000427795.2,-1529,ENSG00000154767,XPC,XPC complex subunit, DNA damage recognition and repair factor
chr6,46302155,46302555,401,*,125278,0,Intron (ENST00000827185.1/101926915, intron 1 of 2),6,46220736,46325668,104933,2,10231,ENST00000330430.10,23113,ENSG00000172348,RCAN2,regulator of calcineurin 2
chr5,146794597,146794997,401,*,119514,0,Intron (ENST00000394411.9/5521, intron 2 of 9),5,146589947,146878581,288635,2,5521,ENST00000512639.5,83584,ENSG00000156475,PPP2R2B,protein phosphatase 2 regulatory subunit Bbeta
chr14,29311949,29312349,401,*,42694,0,Intron (ENST00000652140.1/ENST00000652140.1, intron 3 of 4),14,29264380,29275008,10629,2,102724934,ENST00000662728.1,-36941,ENSG00000257522,LOC102724934,uncharacterized LOC102724934
chr12,101022097,101022497,401,*,35924,0,Intron (ENST00000644049.1/121601, intron 11 of 29),12,101042380,101086813,44434,1,121601,ENST00000548940.1,-19883,ENSG00000151572,ANO4,anoctamin 4
chr11,27514541,27514941,401,*,24229,0,Promoter (<=1kb),11,27514970,27515047,78,2,102465881,ENST00000612745.1,106,ENSG00000278483,MIR8087,microRNA 8087
chr8,109589295,109589695,401,*,144893,0,Promoter (2-3kb),8,109579912,109586529,6618,2,55638,ENST00000528735.1,-2766,ENSG00000147642,SYBU,syntabulin
chr12,100901286,100901686,401,*,35913,0,5' UTR,12,100987119,101042381,55263,1,121601,ENST00000549234.1,-85433,ENSG00000151572,ANO4,anoctamin 4
chr13,111281219,111281619,401,*,42083,0,Promoter (1-2kb),13,111282828,111286236,3409,1,8874,ENST00000491688.1,-1209,ENSG00000102606,ARHGEF7,Rho guanine nucleotide exchange factor 7
chr18,50716919,50717319,401,*,65591,0,Intron (ENST00000400384.7/5596, intron 3 of 5),18,50726730,50756802,30073,2,105372116,ENST00000761934.1,39483,NA,LOC105372116,uncharacterized LOC105372116
chr17,41455236,41455636,401,*,59825,0,Distal Intergenic,17,41459513,41467386,7874,2,3882,ENST00000225899.4,11750,ENSG00000108759,KRT32,keratin 32
chr4,7304832,7305232,401,*,104705,0,Intron (ENST00000507866.6/57537, intron 1 of 26),4,7310450,7310524,75,1,100616471,ENST00000578126.1,-5218,ENSG00000264658,MIR4798,microRNA 4798
chr3,100370792,100371192,401,*,98369,0,Promoter (2-3kb),3,100372006,100373725,1720,2,9868,ENST00000483945.1,2533,ENSG00000154174,TOMM70,translocase of outer mitochondrial membrane 70
chr2,3348855,3349255,401,*,71151,0,Intron (ENST00000398659.8/7260, intron 2 of 9),2,3194012,3377470,183459,2,7260,ENST00000463662.5,28215,ENSG00000032389,EIPR1,EARP complex and GARP complex interacting protein 1
chr9,27354158,27354558,401,*,148339,0,Intron (ENST00000262244.6/79817, intron 3 of 3),9,27284654,27297150,12497,2,54586,ENST00000380032.8,-57008,ENSG00000120160,EQTN,equatorin
chr3,191123235,191123635,401,*,103655,0,Distal Intergenic,3,191199241,191265615,66375,1,344901,ENST00000445281.5,-75606,ENSG00000188729,OSTN,osteocrin
chr2,33777790,33778190,401,*,73096,0,Intron (ENST00000771865.1/104355287, intron 1 of 3),2,33797814,33855786,57973,1,104355287,ENST00000771874.1,-19624,ENSG00000228262,LINC01317,long intergenic non-protein coding RNA 1317
chr9,115422963,115423363,401,*,152028,0,Intron (ENST00000646338.1/101928775, intron 2 of 2),9,115400346,115401315,970,1,50514,ENST00000614246.1,22617,ENSG00000173077,DELEC1,deleted in esophageal cancer 1
chr12,72277468,72277868,401,*,34517,0,Promoter (<=1kb),12,72253551,72276954,23404,2,283392,ENST00000663912.1,-514,NA,TRHDE-AS1,TRHDE antisense RNA 1
chr1,21309272,21309672,401,*,1679,0,Intron (ENST00000415912.6/1889, intron 1 of 18),1,21272746,21298999,26254,2,1889,ENST00000481130.6,-10273,ENSG00000117298,ECE1,endothelin converting enzyme 1
chr2,203412529,203412929,401,*,81645,0,Intron (ENST00000261017.9/10152, intron 8 of 9),2,203402706,203436883,34178,1,10152,ENST00000464761.1,9823,ENSG00000138443,ABI2,abl interactor 2
