seqnames,start,end,width,strand,Conc,Conc_KS,Conc_control,Fold,p.value,FDR,GDB374_KS,GDB380_KS,GDB425_KS,GDB447_KS,GDB587_KS,GDB598_KS,GDB339_ctrl,GDB418_ctrl,GDB809_ctrl,GDB813_ctrl
chr1,218930901,218931301,401,*,4.92938136793158,5.55951194796379,2.4429116677791,2.48159826163601,9.45836578246997e-09,2.8201634488154e-05,18.05,44.52,26.37,83.91,58.18,51.94,1.98,11.3,3.97,4.51
chr6,149221673,149222073,401,*,6.59551541797272,7.08467428984512,5.25383410981305,1.55677683920924,1.10503051508226e-08,3.23381041180405e-05,61.08,117.79,170.55,144.52,141.3,179.19,24.77,49.89,39.66,38.29
chr6,6972424,6972824,401,*,5.15947183495276,5.69522760495582,3.53997037158268,1.85753482785928,1.15388295257665e-08,3.23658633585016e-05,22.21,61.21,66.74,55.01,49.87,55.83,9.91,14.12,13.49,9.01
chr2,47906503,47906903,401,*,8.99093428975578,9.2467297337457,8.4948104965926,0.666443784707859,1.16532187472273e-08,3.23658633585016e-05,673.31,614.9,609.69,548.23,513.25,685.59,370.63,398.18,362.54,311.6
chr6,87578414,87578814,401,*,7.00109337085446,7.55221674210731,5.27448154167677,1.94570046146458,1.16742236276773e-08,3.23658633585016e-05,208.24,197.55,146.66,145.45,110.13,318.13,23.78,64.95,14.28,51.81
chr4,38753055,38753455,401,*,8.72859823923999,9.01241693549278,8.15916287057996,0.736043381325747,1.20059068448284e-08,3.27115421874921e-05,483.11,436.83,534.72,503.47,534.03,606.39,264.6,356.76,257.03,265.05
chrUn_GL000195v1,30657,31057,401,*,10.5549888841888,10.8790649599128,9.87045378130075,0.840699860389829,1.22454112648226e-08,3.27986076501253e-05,1422.97,2274.11,1389.11,1641.89,2474.83,2097.03,911.72,930.03,894.84,1007.64
chr12,53995394,53995794,401,*,6.42695130076131,6.90911011665288,5.12205985829639,1.5056601661354,1.33407235866165e-08,3.51367977824306e-05,95.79,113.15,88.16,151.04,160,112.97,27.75,45.18,47.6,18.77
chr9,118631185,118631585,401,*,4.48834385254521,1.33716118280977,5.70938817256181,-2.86474740154178,1.38152188216114e-08,3.56340627276469e-05,2.78,3.71,4.94,3.73,0,0,116.94,55.54,28.56,8.26
chr19,611453,611853,401,*,9.15182956723909,9.56860062923301,8.14487441024851,1.15427020882232,1.39805090813913e-08,3.56340627276469e-05,993.99,831,462.21,914.65,743.9,610.28,158.56,349.23,274.48,349.9
chr11,20087227,20087627,401,*,7.00766675263448,7.63268120891781,4.58615595344019,2.42305482855259,1.42256596883787e-08,3.56833737973828e-05,360.95,95.53,87.33,402.78,207.79,36.36,21.8,15.06,26.18,33.04
chr8,132840445,132840845,401,*,7.2984232051538,7.83148205302058,5.69681358585678,1.8265736892518,1.51694922298825e-08,3.74563205953729e-05,80.52,211.46,206.8,396.25,149.61,322.02,53.51,67.78,53.15,33.04
chr4,188819239,188819639,401,*,5.3143753793563,5.95976919497673,2.61304023715891,2.5670380442689,1.83566771469231e-08,4.46287534795994e-05,56.92,69.56,100.52,29.84,37.4,79.21,3.96,16,0,4.51
chr3,75435263,75435663,401,*,9.73875170214397,10.0975634566467,8.94400932641599,0.935761825145513,1.90037403509844e-08,4.55018648512933e-05,1156.42,942.29,902.18,983.64,955.86,1633.48,631.27,357.7,541.82,439.25
chr6,83442761,83443161,401,*,5.80278386732186,6.37810837812091,3.88674540141748,2.09210568713603,2.04859546047618e-08,4.83187228997209e-05,81.91,94.6,40.37,176.22,54.03,51.94,18.83,17.89,12.69,9.76
chr8,66106488,66106888,401,*,6.17623143937683,6.6912698223004,4.68801019699946,1.70657877547774,2.08812052035023e-08,4.85266925867509e-05,76.35,101.09,166.43,96.97,83.12,96.09,13.87,46.13,19.83,23.28
chr7,95963493,95963893,401,*,5.76718796835566,6.31555253342588,4.06048579459439,1.91227862155112,2.13332016493183e-08,4.88585969599778e-05,106.9,106.66,84.04,74.59,39.48,66.22,5.95,28.24,19.04,13.52
chr10,125064668,125065068,401,*,7.30025397789928,7.63557629273902,6.58123672301597,0.862036898012016,2.37235772541898e-08,5.35569923760729e-05,236,181.78,170.55,198.59,234.81,171.4,97.12,111.08,81.71,93.11
chr2,71834121,71834521,401,*,6.87649747318132,7.38329030562831,5.43689162023226,1.64386059911529,2.57756569542857e-08,5.67459690909559e-05,215.18,153.03,168.9,200.46,184.94,79.21,54.5,49.89,52.36,16.52
chr13,49927734,49928134,401,*,7.49641573368858,7.90977232242372,6.50311985945347,1.12986991904225,2.58543408418054e-08,5.67459690909559e-05,273.49,248.56,252.94,255.47,178.7,233.72,47.57,133.67,95.99,85.6
chr3,188124135,188124535,401,*,4.65649020685299,5.25399042975139,2.53845981030881,2.21618747135388,2.80974983254432e-08,5.97766239588164e-05,34.71,55.65,27.19,56.87,41.56,12.98,5.95,5.65,7.14,4.51
chr11,106249889,106250289,401,*,4.64073519161478,5.34774568195909,0.357890920829339,2.90128260729577,2.81457920614956e-08,5.97766239588164e-05,6.94,23.19,14.01,86.71,18.7,94.79,0.99,1.88,0,2.25
chr11,131760140,131760540,401,*,7.2323076427003,7.79415150098915,5.42522416903262,1.98102669421124,2.8369952140831e-08,5.97766239588164e-05,186.03,323.68,170.55,305.81,170.39,175.29,15.86,45.18,92.82,18.02
chr15,70589320,70589720,401,*,8.57920540391991,8.96888636570475,7.6763968617258,1.03245261030972,3.11365351964156e-08,6.474268926341e-05,535.87,577.8,523.18,626.55,388.58,354.48,133.78,293.69,174.53,216.24
chr6,11492805,11493205,401,*,5.21313958196114,5.86878267766294,2.34562940050563,2.5784868453884,3.26851196072222e-08,6.70800530037677e-05,52.75,7.42,65.09,48.48,97.66,79.21,1.98,4.71,2.38,11.26
chr9,134551962,134552362,401,*,8.57375453671534,8.91127812673875,7.84785836960801,0.867447877759732,3.33174823519466e-08,6.75012192450437e-05,596.95,428.48,457.27,439.14,448.84,518.09,196.22,275.81,289.55,159.93
chr12,22286583,22286983,401,*,8.01751092235206,8.35418994012479,7.29425913678974,0.867215001169736,3.48921409091433e-08,6.81245369427913e-05,333.18,361.71,270.24,432.62,313.77,251.9,169.46,176.03,126.93,155.43
chr1,3313071,3313471,401,*,9.34773675328216,9.65911746032664,8.70085209185246,0.798638382692146,3.49538450336458e-08,6.81245369427913e-05,980.11,889.43,658.3,795.3,635.85,892.05,344.87,461.25,507.71,350.65
chr5,68839197,68839597,401,*,5.07059716889693,5.66708412646548,2.96251212815155,2.21765253208426,3.50258747469138e-08,6.81245369427913e-05,19.44,79.76,81.57,50.35,27.01,46.74,9.91,11.3,3.97,6.01
chr9,134811642,134812042,401,*,9.18675167518205,9.50902042421289,8.50765732475432,0.826711005173664,3.53495078676493e-08,6.81245369427913e-05,741.33,765.15,543.78,874.55,762.61,684.29,328.02,495.14,345.88,286.82
chr20,16260926,16261326,401,*,6.3292140005705,6.83951778939908,4.8691415084004,1.6509899089812,3.64736913466518e-08,6.94441505557674e-05,93.01,120.57,131,77.39,170.39,94.79,23.78,52.71,25.39,15.02
chr11,100730264,100730664,401,*,5.43119505521986,6.00882635722762,3.49555147823605,2.08462166030536,3.70238116820252e-08,6.96523680057986e-05,22.21,107.58,84.86,83.91,43.64,44.15,10.9,15.06,7.14,12.01
chr11,75554321,75554721,401,*,9.65023294095657,9.98293356038154,8.93935225922046,0.852937610904485,3.81050160507128e-08,7.08430526642593e-05,835.73,933.94,893.12,1085.27,1068.06,1255.62,358.74,688.11,506.12,410.72
chr21,41612821,41613221,401,*,9.11470085733998,9.42796537563916,8.46231183294093,0.802970247855677,3.8713744322081e-08,7.11378556712769e-05,552.53,572.24,636.88,788.78,677.41,905.04,373.61,419.83,326.05,291.33
chr12,27843702,27844102,401,*,7.64802976949789,8.17935227752578,6.05780557150294,1.77484369974295,3.98359721020782e-08,7.17370647464686e-05,133.27,520.3,205.98,367.35,272.21,240.22,39.64,67.78,39.66,119.39
chr8,121464351,121464751,401,*,4.32745344856799,2.76907741517775,5.32072956626914,-2.12999684762982,3.99477415248515e-08,7.17370647464686e-05,4.16,4.64,3.3,9.32,10.39,9.09,33.69,38.59,23.01,64.57
chr9,111187358,111187758,401,*,5.1333685641363,5.64515671891764,3.66453987913969,1.65687563004267,4.09313171487839e-08,7.26143355725261e-05,48.59,46.37,59.32,47.55,68.57,29.86,13.87,16.94,7.14,12.76
chr18,36309547,36309947,401,*,9.78319309108725,10.1014823734235,9.11598287800489,0.814597511463734,4.18031652813639e-08,7.26143355725261e-05,1163.36,1162.1,772.83,1177.57,1036.9,1279,557.93,660.81,614.01,386.69
chr8,133036881,133037281,401,*,8.95789779863126,9.31113916300697,8.18158925326578,0.906485819759063,4.19415254109542e-08,7.26143355725261e-05,724.67,581.51,477.87,532.38,856.11,638.85,235.86,376.53,324.46,224.5
chr2,100011374,100011774,401,*,7.61764647505771,7.99808335080172,6.74830332643296,0.995194448041697,4.22742733735313e-08,7.26143355725261e-05,251.27,345.01,244.7,281.57,234.81,176.59,78.29,137.43,118.2,96.11
chr12,100987654,100988054,401,*,6.18111895290541,5.18354504606401,6.98743287052789,-1.49844144339742,4.632968378549e-08,7.87245942930475e-05,44.42,14.84,34.6,42.89,43.64,37.66,167.48,132.73,128.51,78.84
chr17,21425687,21426087,401,*,4.58158688704275,5.20199913489131,2.21592658633414,2.3171194485997,4.81735383578178e-08,7.95823254190073e-05,44.42,55.65,14.01,42.89,24.94,38.95,2.97,1.88,3.97,9.76
chr7,136303041,136303441,401,*,3.03661424115586,0.215973755644031,4.23049859090612,-2.71748361847379,4.84479496487957e-08,7.95823254190073e-05,1.39,1.85,1.65,0,2.08,0,21.8,19.77,23.01,10.51
chr14,55911770,55912170,401,*,5.75358614557436,6.4138325816551,2.80428897244308,2.59058579626751,4.93165652120481e-08,7.95823254190073e-05,9.72,153.96,36.25,138.92,145.46,27.27,3.96,9.41,5.55,9.01
chr8,29804210,29804610,401,*,5.83285022444594,6.30889973849502,4.55917728188778,1.42439668817491,5.0522753104071e-08,7.95823254190073e-05,55.53,63.99,68.38,109.09,105.98,72.71,16.85,30.12,28.56,18.77
chr16,54027110,54027510,401,*,6.08485499906561,6.51830233247846,5.00877245814947,1.2094721915199,5.08399942508308e-08,7.95823254190073e-05,106.9,75.12,112.88,90.44,58.18,106.47,35.68,23.53,37.29,32.29
chr8,116806351,116806751,401,*,4.84380888640248,5.38558552575898,3.18341961985549,1.83401587252364,5.09356986855741e-08,7.95823254190073e-05,34.71,30.61,56.03,57.81,35.33,36.36,3.96,13.18,7.93,11.26
chr3,186839871,186840271,401,*,5.71508471815076,6.26340292932684,4.00871441079043,1.88476501036407,5.16583656100766e-08,7.95823254190073e-05,33.32,56.57,107.11,131.46,51.95,80.51,16.85,20.71,10.31,16.52
chr5,32852424,32852824,401,*,7.12182786870859,7.56285312716892,6.01292621542011,1.24489806382209,5.17940196023658e-08,7.95823254190073e-05,238.78,163.23,157.37,190.2,174.55,210.35,67.39,106.37,36.49,48.05
chr11,41281102,41281502,401,*,6.28780517063812,6.93258446321943,3.59581537404355,2.49097155068082,5.2118110512209e-08,7.95823254190073e-05,11.11,114.08,99.69,54.08,209.87,244.11,17.84,14.12,11.9,4.51
chr11,130383593,130383993,401,*,7.30919378143384,7.82606667264125,5.80989112521381,1.66959095646586,5.2169353733018e-08,7.95823254190073e-05,149.93,276.38,177.14,236.82,351.17,170.1,15.86,70.6,80.12,57.82
chr20,54212218,54212618,401,*,6.99400681596689,7.37307342144722,6.12954095337731,0.985932463720896,5.23740213353125e-08,7.95823254190073e-05,161.04,166.01,229.05,135.19,157.92,145.43,50.54,83.78,71.4,74.33
chr1,231885454,231885854,401,*,5.44856775387306,6.046942471801,3.32189291712494,2.18763833011489,5.33766425240043e-08,7.97890407589766e-05,77.74,32.46,35.43,157.57,51.95,41.55,6.94,12.24,10.31,10.51
chr2,201831453,201831853,401,*,8.51510583106288,8.90636767856091,7.60647378938377,1.02493064380506,5.35198719242889e-08,7.97890407589766e-05,609.45,546.27,377.35,477.37,556.89,311.63,130.81,258.87,227.68,162.18
chr5,68924400,68924800,401,*,5.7424027690749,6.35130345348623,3.50695280487053,2.24878458632192,6.02219346753305e-08,8.89416064754498e-05,137.44,39.88,163.96,58.74,24.94,64.92,4.95,15.06,12.69,12.76
chr3,124401863,124402263,401,*,5.25628872409139,5.84200047597022,3.24952789559533,2.08275634576886,6.28044610270651e-08,9.18968830294911e-05,58.31,20.4,92.28,39.16,87.27,46.74,6.94,5.65,12.69,12.76
chr3,9020368,9020768,401,*,6.85810049596646,7.41381650394667,5.09763569245394,1.89825453153932,7.08420146986965e-08,0.000102706622924822,76.35,120.57,134.3,208.85,176.63,306.44,12.88,34.83,26.18,63.07
chr3,149542445,149542845,401,*,4.49746226233623,5.0185093327745,2.97256985604414,1.67687824345631,7.20138665945626e-08,0.000103456430092778,38.87,30.61,34.6,31.7,35.33,23.37,7.93,5.65,10.31,7.51
chr12,133080030,133080430,401,*,9.45502268080717,9.72321942491025,8.92708947597709,0.685963360841669,7.61366431986942e-08,0.000108393886949579,805.19,794.83,818.97,891.34,752.22,1008.91,472.71,585.51,516.44,372.42
chr2,106990273,106990673,401,*,8.30234318371825,8.73336510892512,7.23657332716704,1.17992961457603,7.80597180716202e-08,0.000110139474351982,491.44,465.58,315.56,574.33,398.97,307.74,71.35,223.09,157.87,150.92
chr16,80993282,80993682,401,*,8.00343737083677,8.29847045075764,7.40316702557818,0.753307983307996,8.06740997531962e-08,0.000112820943679629,331.79,398.8,289.19,325.39,265.98,277.87,197.21,149.67,165.01,165.19
chr13,30743557,30743957,401,*,9.26748519961128,9.5259676832469,8.76455144460168,0.66168691936427,8.14534173534433e-08,0.000112911584539736,713.57,756.8,662.42,726.31,708.58,855.69,460.81,520.55,418.86,339.38
chr10,72320744,72321144,401,*,9.28961900362194,9.59087384609285,8.67184671294971,0.764571546029761,8.26805172621613e-08,0.000113615972016564,820.46,771.64,528.95,844.72,773,888.15,381.53,488.55,433.14,328.12
chr8,103652155,103652555,401,*,5.49059657268407,6.04444644242768,3.74399631429364,1.88245339014756,8.51101667277668e-08,0.000114804797155251,84.68,97.38,32.13,31.7,64.42,85.7,18.83,8.47,14.28,12.01
chr11,120197470,120197870,401,*,6.83732681023816,7.27045127370973,5.76262235624049,1.18477507673149,8.53948849709625e-08,0.000114804797155251,144.38,101.09,151.6,195.8,193.25,140.23,45.59,64.01,73.78,33.79
chr2,100291093,100291493,401,*,6.6297228643536,7.01317772483854,5.7495626112528,0.990400120966075,8.57250997564964e-08,0.000114804797155251,104.12,165.09,121.94,115.61,137.14,131.15,48.56,55.54,69.81,41.3
chr7,111933640,111934040,401,*,4.39060792826358,5.0213794724982,1.89577314725876,2.34875279286845,8.7228268622397e-08,0.0001158362086879,54.14,27.82,27.19,36.36,41.56,7.79,1.98,3.77,2.38,6.76
chr1,234553465,234553865,401,*,7.84847880688183,8.20900971095906,7.04798489961479,0.917541214669928,8.81081139652831e-08,0.000116029575280881,205.46,407.15,284.25,252.67,311.69,314.23,103.06,121.43,153.9,150.92
chr7,156923113,156923513,401,*,5.17107808439192,5.7032999568143,3.57496955805271,1.743303392796,8.95197845533725e-08,0.000116914318292565,38.87,84.4,33.78,56.87,62.34,36.36,9.91,11.3,17.45,9.01
chr2,85590389,85590789,401,*,9.14115577567219,9.50131554809007,8.34190603752245,0.917828915859456,9.34718168714048e-08,0.000121075117020937,860.72,732.69,454.8,882.95,662.86,754.41,344.87,435.83,291.14,226.01
chr13,110012117,110012517,401,*,9.13287304878807,9.4129278567187,8.57358819231576,0.711555553250152,9.54352352272161e-08,0.000121868210720979,781.59,728.05,742.34,534.24,664.94,638.85,327.03,395.36,470.43,331.13
chr9,91771110,91771510,401,*,8.36120067748801,8.61762538224473,7.86348611837026,0.65635204983945,9.56264594211242e-08,0.000121868210720979,360.95,417.35,381.47,427.95,419.75,349.29,259.64,244.75,237.2,189.97
chr7,76423480,76423880,401,*,7.74109666084702,8.17231657790314,6.67448836082345,1.17546781469391,1.01954285489099e-07,0.000128893054618171,211.02,240.21,202.68,396.25,253.51,427.2,109.01,111.08,126.93,61.57
